FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,15,0:00:00.899142,0.11878537521202559,kNN,7,Regression,34.67048710601719,-0.07941880028893333
MICE,,0:12:45.555743,0.06327322835318544,kNN,7,Regression,12.320916905444125,0.49240604603672633
GAIN,,0:00:01.178596,0.3610080140040182,kNN,7,Regression,56.73352435530086,-0.6641349782295913
Mean,,0:00:00,0.14337887926034057,kNN,7,Regression,45.55873925501432,-0.3336176572890248
Median,,0:00:00.002020,0.1444784080724651,kNN,7,Regression,42.97994269340974,-0.3205325897744984
Min,,0:00:00,0.3437805550044183,kNN,7,Regression,56.73352435530086,-0.8406989368450775
Max,,0:00:00,0.7762385544380943,kNN,7,Regression,57.59312320916906,-0.9917589279548578
Full,,,,kNN,7,Regression,8.30945558739255,0.6320412106063126
kNN,15,0:00:00.899142,0.11878537521202559,kNN,11,Classification,34.95702005730659,0.2722063037249284
MICE,,0:12:45.555743,0.06327322835318544,kNN,11,Classification,12.320916905444125,0.3467048710601719
GAIN,,0:00:01.178596,0.3610080140040182,kNN,11,Classification,55.873925501432666,0.12607449856733524
Mean,,0:00:00,0.14337887926034057,kNN,11,Classification,42.97994269340974,0.22922636103151864
Median,,0:00:00.002020,0.1444784080724651,kNN,11,Classification,39.82808022922636,0.24641833810888253
Min,,0:00:00,0.3437805550044183,kNN,11,Classification,51.00286532951289,0.19484240687679083
Max,,0:00:00,0.7762385544380943,kNN,11,Classification,62.46418338108882,0.10315186246418338
Full,,,,kNN,11,Classification,7.163323782234957,0.44412607449856734
kNN,15,0:00:00.899142,0.11878537521202559,RandomForest,23,Regression,19.197707736389685,0.3126456181589522
MICE,,0:12:45.555743,0.06327322835318544,RandomForest,23,Regression,11.74785100286533,0.44683624621938534
GAIN,,0:00:01.178596,0.3610080140040182,RandomForest,23,Regression,39.25501432664756,-0.005461236037509476
Mean,,0:00:00,0.14337887926034057,RandomForest,23,Regression,22.922636103151863,0.25721883387954614
Median,,0:00:00.002020,0.1444784080724651,RandomForest,23,Regression,21.20343839541547,0.2609934069524982
Min,,0:00:00,0.3437805550044183,RandomForest,23,Regression,37.82234957020057,-0.17401220819672414
Max,,0:00:00,0.7762385544380943,RandomForest,23,Regression,45.55873925501432,-1.2831673515455133
Full,,,,RandomForest,23,Regression,9.742120343839542,0.46601124778061953
kNN,15,0:00:00.899142,0.11878537521202559,RandomForest,21,Classification,15.472779369627506,0.22922636103151864
MICE,,0:12:45.555743,0.06327322835318544,RandomForest,21,Classification,11.461318051575931,0.30945558739255014
GAIN,,0:00:01.178596,0.3610080140040182,RandomForest,21,Classification,20.34383954154728,0.2349570200573066
Mean,,0:00:00,0.14337887926034057,RandomForest,21,Classification,16.332378223495702,0.24068767908309455
Median,,0:00:00.002020,0.1444784080724651,RandomForest,21,Classification,15.759312320916905,0.24355300859598855
Min,,0:00:00,0.3437805550044183,RandomForest,21,Classification,18.05157593123209,0.24641833810888253
Max,,0:00:00,0.7762385544380943,RandomForest,21,Classification,31.23209169054441,0.22349570200573066
Full,,,,RandomForest,21,Classification,9.455587392550143,0.3553008595988539
